Operating on Environment: 83
[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1]
Optimal Reward: 0.96
Generation 00 | Pre: 0.00 | Post: 0.00
Generation 01 | Pre: 0.00 | Post: 0.00
Generation 02 | Pre: 0.00 | Post: 0.00
Generation 03 | Pre: 0.00 | Post: 0.00
Generation 04 | Pre: 0.00 | Post: 0.00
Generation 05 | Pre: 0.00 | Post: 0.00
Generation 06 | Pre: 0.00 | Post: 0.00
Generation 07 | Pre: 0.00 | Post: 0.00
Generation 08 | Pre: 0.00 | Post: 0.00
Generation 09 | Pre: 0.00 | Post: 0.00
Generation 10 | Pre: 0.00 | Post: 0.00
Generation 11 | Pre: 0.00 | Post: 0.00
Generation 12 | Pre: 0.00 | Post: 0.00
Generation 13 | Pre: 0.00 | Post: 0.00
Generation 14 | Pre: 0.00 | Post: 0.00
Generation 15 | Pre: 0.00 | Post: 0.00
Generation 16 | Pre: 0.00 | Post: 0.00
Generation 17 | Pre: 0.00 | Post: 0.00
Generation 18 | Pre: 0.00 | Post: 0.00
Generation 19 | Pre: 0.00 | Post: 0.00
Generation 20 | Pre: 0.00 | Post: 0.00
Generation 21 | Pre: 0.00 | Post: 0.00
Generation 22 | Pre: 0.00 | Post: 0.00
Generation 23 | Pre: 0.00 | Post: 0.00
Generation 24 | Pre: 0.00 | Post: 0.00
Generation 25 | Pre: 0.00 | Post: 0.05
Generation 26 | Pre: 0.14 | Post: 0.05
Generation 27 | Pre: 0.00 | Post: 0.00
Generation 28 | Pre: 0.00 | Post: 0.00
Generation 29 | Pre: 0.00 | Post: 0.09
Generation 30 | Pre: 0.24 | Post: 0.28
Generation 31 | Pre: 0.62 | Post: 0.52
Generation 32 | Pre: 0.71 | Post: 0.72
Generation 33 | Pre: 0.67 | Post: 0.48
Generation 34 | Pre: 0.76 | Post: 0.57
Generation 35 | Pre: 0.86 | Post: 0.67
Generation 36 | Pre: 0.91 | Post: 0.67
Generation 37 | Pre: 0.81 | Post: 0.67
Generation 38 | Pre: 0.86 | Post: 0.91
Generation 39 | Pre: 0.67 | Post: 0.86
Generation 40 | Pre: 0.86 | Post: 0.77
Generation 41 | Pre: 0.96 | Post: 0.96
Generation 42 | Pre: 0.91 | Post: 0.72
Generation 43 | Pre: 0.87 | Post: 0.82
Generation 44 | Pre: 0.91 | Post: 0.91
Generation 45 | Pre: 0.82 | Post: 0.91
Generation 46 | Pre: 0.96 | Post: 0.62
Generation 47 | Pre: 0.87 | Post: 0.77
Generation 48 | Pre: 0.87 | Post: 0.77
Generation 49 | Pre: 0.96 | Post: 0.77
Generation 50 | Pre: 0.67 | Post: 0.72
Generation 51 | Pre: 0.96 | Post: 0.87
Generation 52 | Pre: 0.91 | Post: 0.87
Generation 53 | Pre: 0.86 | Post: 0.82
Generation 54 | Pre: 0.86 | Post: 0.53
Generation 55 | Pre: 0.91 | Post: 0.87
Generation 56 | Pre: 0.77 | Post: 0.77
Generation 57 | Pre: 0.96 | Post: 0.72
Generation 58 | Pre: 0.72 | Post: 0.77
Generation 59 | Pre: 0.82 | Post: 0.87
