state,learned_action,n_events,n_assimilated,rate,origin_gens
"(2, 3, 3)",1,11,3,0.2727272727272727,"[16, 18, 19, 25, 26, 29, 31, 32, 52, 53, 54]"
"(1, 3, 3)",1,11,1,0.09090909090909091,"[0, 2, 28, 31, 40, 42, 43, 46, 49, 57, 58]"
"(4, 5, 1)",1,9,1,0.1111111111111111,"[5, 7, 11, 15, 16, 18, 19, 20, 23]"
"(1, 1, 3)",1,8,4,0.5,"[16, 19, 30, 35, 36, 40, 41, 42]"
"(5, 5, 1)",1,8,4,0.5,"[16, 19, 30, 35, 36, 40, 41, 42]"
"(5, 4, 2)",1,8,2,0.25,"[0, 3, 6, 12, 17, 43, 44, 45]"
"(3, 3, 3)",1,7,2,0.2857142857142857,"[0, 19, 30, 38, 41, 44, 45]"
"(5, 1, 2)",1,7,1,0.14285714285714285,"[2, 3, 6, 21, 43, 44, 47]"
"(2, 1, 3)",0,7,0,0.0,"[1, 3, 26, 29, 39, 40, 57]"
"(3, 3, 1)",0,7,0,0.0,"[20, 27, 34, 35, 37, 40, 49]"
"(2, 1, 0)",1,6,3,0.5,"[0, 20, 29, 33, 34, 36]"
"(4, 5, 2)",1,6,3,0.5,"[0, 20, 29, 33, 34, 36]"
"(3, 3, 1)",1,6,2,0.3333333333333333,"[0, 19, 38, 41, 44, 54]"
"(2, 4, 0)",1,6,2,0.3333333333333333,"[0, 40, 41, 42, 44, 49]"
"(1, 1, 0)",1,6,1,0.16666666666666666,"[0, 3, 7, 9, 12, 13]"
"(4, 2, 2)",1,6,1,0.16666666666666666,"[0, 17, 46, 51, 52, 53]"
"(5, 2, 2)",1,6,1,0.16666666666666666,"[0, 3, 30, 32, 42, 45]"
"(5, 5, 2)",1,6,1,0.16666666666666666,"[0, 3, 7, 9, 12, 13]"
"(2, 1, 3)",1,6,1,0.16666666666666666,"[23, 25, 28, 30, 33, 38]"
"(1, 4, 0)",1,6,0,0.0,"[3, 8, 16, 50, 51, 56]"
"(1, 2, 0)",1,5,1,0.2,"[0, 3, 5, 7, 51]"
"(4, 3, 1)",1,5,1,0.2,"[3, 4, 6, 43, 44]"
"(4, 3, 3)",0,4,4,1.0,"[17, 24, 52, 56]"
"(4, 3, 1)",2,4,2,0.5,"[13, 24, 36, 57]"
"(4, 5, 1)",0,4,1,0.25,"[1, 21, 22, 24]"
"(2, 5, 1)",1,4,0,0.0,"[15, 17, 19, 26]"
"(3, 3, 3)",0,4,0,0.0,"[27, 35, 37, 46]"
"(4, 1, 3)",0,3,2,0.6666666666666666,"[1, 31, 37]"
"(5, 2, 2)",2,3,2,0.6666666666666666,"[4, 28, 40]"
"(2, 5, 1)",0,3,1,0.3333333333333333,"[0, 2, 27]"
"(1, 5, 0)",1,3,0,0.0,"[0, 2, 3]"
"(2, 1, 0)",0,3,0,0.0,"[3, 19, 27]"
"(4, 5, 2)",0,3,0,0.0,"[3, 19, 27]"
"(4, 1, 1)",2,2,2,1.0,"[3, 24]"
"(4, 2, 1)",2,2,2,1.0,"[3, 55]"
"(2, 3, 1)",1,2,1,0.5,"[0, 6]"
"(4, 3, 3)",1,2,1,0.5,"[0, 6]"
"(1, 1, 2)",0,2,1,0.5,"[1, 19]"
"(5, 5, 0)",0,2,1,0.5,"[1, 19]"
"(1, 4, 0)",2,2,1,0.5,"[4, 5]"
"(1, 1, 0)",2,2,1,0.5,"[5, 11]"
"(5, 5, 2)",2,2,1,0.5,"[5, 11]"
"(5, 1, 3)",0,2,1,0.5,"[19, 20]"
"(1, 5, 1)",0,2,1,0.5,"[19, 20]"
"(1, 3, 3)",2,2,1,0.5,"[34, 48]"
"(1, 1, 3)",2,2,1,0.5,"[39, 54]"
"(5, 5, 1)",2,2,1,0.5,"[39, 54]"
"(2, 1, 1)",1,2,0,0.0,"[0, 2]"
"(4, 2, 0)",1,2,0,0.0,"[0, 2]"
"(4, 2, 3)",1,2,0,0.0,"[0, 2]"
"(3, 3, 2)",0,2,0,0.0,"[0, 2]"
"(5, 3, 2)",1,2,0,0.0,"[0, 2]"
"(2, 4, 1)",1,2,0,0.0,"[0, 2]"
"(5, 3, 0)",0,2,0,0.0,"[1, 3]"
"(5, 4, 0)",0,2,0,0.0,"[1, 3]"
"(1, 1, 3)",0,2,0,0.0,"[2, 49]"
"(5, 5, 1)",0,2,0,0.0,"[2, 49]"
"(1, 3, 1)",1,2,0,0.0,"[8, 15]"
"(5, 3, 3)",1,2,0,0.0,"[8, 15]"
"(2, 4, 0)",0,2,0,0.0,"[19, 37]"
"(5, 1, 2)",2,2,0,0.0,"[34, 36]"
"(5, 4, 2)",2,2,0,0.0,"[34, 38]"
"(3, 3, 0)",2,1,1,1.0,[0]
"(4, 1, 0)",2,1,1,1.0,[1]
"(1, 2, 3)",2,1,1,1.0,[1]
"(2, 2, 2)",2,1,1,1.0,[1]
"(4, 2, 0)",2,1,1,1.0,[1]
"(2, 3, 2)",2,1,1,1.0,[1]
"(4, 3, 0)",2,1,1,1.0,[1]
"(2, 4, 2)",2,1,1,1.0,[1]
"(2, 5, 2)",2,1,1,1.0,[1]
"(5, 1, 3)",1,1,1,1.0,[2]
"(1, 2, 1)",2,1,1,1.0,[2]
"(5, 4, 3)",2,1,1,1.0,[2]
"(1, 5, 1)",1,1,1,1.0,[2]
"(4, 5, 3)",2,1,1,1.0,[2]
"(5, 1, 1)",2,1,1,1.0,[3]
