state,origin_gen,instinct_before,learned_action,persistence,assimilated,dist_to_lava
"(1, 1, 0)",0,2,1,0,False,2
"(1, 1, 1)",0,0,1,0,False,2
"(1, 1, 2)",0,0,1,1,False,2
"(2, 1, 0)",0,2,1,0,False,1
"(2, 1, 1)",0,2,1,0,False,1
"(4, 1, 1)",0,0,1,0,False,1
"(4, 1, 2)",0,0,1,0,False,1
"(5, 1, 1)",0,2,1,0,False,2
"(1, 2, 0)",0,2,1,0,False,2
"(1, 2, 1)",0,2,1,0,False,2
"(1, 2, 2)",0,0,1,1,False,2
"(2, 2, 0)",0,0,1,1,False,1
"(4, 2, 0)",0,2,1,0,False,1
"(4, 2, 1)",0,0,1,2,False,1
"(4, 2, 2)",0,0,1,1,False,1
"(4, 2, 3)",0,0,1,0,False,1
"(5, 2, 2)",0,0,1,0,False,2
"(1, 3, 2)",0,0,1,0,False,3
"(1, 3, 3)",0,2,1,0,False,3
"(2, 3, 0)",0,0,1,1,False,2
"(2, 3, 1)",0,0,1,0,False,2
"(3, 3, 0)",0,0,2,59,True,1
"(3, 3, 1)",0,0,1,0,False,1
"(3, 3, 2)",0,1,0,1,False,1
"(3, 3, 3)",0,0,1,0,False,1
"(4, 3, 2)",0,0,1,1,False,2
"(4, 3, 3)",0,0,1,0,False,2
"(5, 3, 1)",0,0,1,0,False,3
"(5, 3, 2)",0,2,1,0,False,3
"(2, 4, 0)",0,0,1,1,False,1
"(2, 4, 1)",0,0,1,0,False,1
"(2, 4, 2)",0,2,0,1,False,1
"(2, 4, 3)",0,0,1,1,False,1
"(4, 4, 2)",0,0,1,0,False,1
"(5, 4, 2)",0,2,1,0,False,2
"(5, 4, 3)",0,2,1,0,False,2
"(1, 5, 0)",0,2,1,0,False,2
"(1, 5, 3)",0,0,1,0,False,2
"(2, 5, 1)",0,1,0,0,False,1
"(4, 5, 0)",0,0,1,0,False,1
"(4, 5, 2)",0,2,1,0,False,1
"(4, 5, 3)",0,0,1,0,False,1
"(5, 5, 0)",0,0,1,1,False,2
"(5, 5, 2)",0,2,1,0,False,2
"(5, 5, 3)",0,0,1,0,False,2
"(1, 1, 2)",1,1,0,1,False,2
"(2, 1, 3)",1,2,0,1,False,1
"(4, 1, 0)",1,0,2,58,True,1
"(4, 1, 1)",1,2,0,2,False,1
"(4, 1, 3)",1,1,0,1,False,1
"(5, 1, 0)",1,0,2,0,False,2
"(5, 1, 1)",1,2,0,2,False,2
"(1, 2, 2)",1,1,0,1,False,2
"(1, 2, 3)",1,0,2,58,True,2
"(2, 2, 0)",1,1,0,1,False,1
"(2, 2, 2)",1,0,2,58,True,1
"(4, 2, 0)",1,0,2,58,True,1
"(5, 2, 0)",1,2,0,1,False,2
"(1, 3, 2)",1,2,0,1,False,3
"(2, 3, 0)",1,1,0,2,False,2
"(2, 3, 2)",1,0,2,58,True,2
"(4, 3, 0)",1,0,2,58,True,2
"(4, 3, 2)",1,1,0,2,False,2
"(5, 3, 0)",1,2,0,1,False,3
"(1, 4, 2)",1,2,0,1,False,2
"(2, 4, 2)",1,0,2,58,True,1
"(4, 4, 3)",1,2,1,1,False,1
"(5, 4, 0)",1,2,0,1,False,2
"(1, 5, 2)",1,0,2,0,False,2
"(1, 5, 3)",1,2,0,2,False,2
"(2, 5, 2)",1,0,2,58,True,1
"(2, 5, 3)",1,1,0,2,False,1
"(4, 5, 1)",1,2,0,1,False,1
"(5, 5, 0)",1,1,0,1,False,2
"(1, 1, 3)",2,2,0,0,False,2
"(2, 1, 1)",2,0,1,0,False,1
"(2, 1, 2)",2,0,1,0,False,1
"(4, 1, 0)",2,2,1,0,False,1
"(4, 1, 2)",2,1,0,0,False,1
"(5, 1, 2)",2,0,1,0,False,2
"(5, 1, 3)",2,0,1,17,True,2
"(1, 2, 1)",2,1,2,57,True,2
"(2, 2, 2)",2,2,1,0,False,1
"(2, 2, 3)",2,2,0,0,False,1
"(4, 2, 0)",2,2,1,0,False,1
"(4, 2, 1)",2,1,0,1,False,1
"(4, 2, 3)",2,0,1,0,False,1
"(5, 2, 1)",2,2,1,0,False,2
"(5, 2, 3)",2,0,1,0,False,2
"(1, 3, 3)",2,2,1,25,True,3
"(2, 3, 2)",2,2,1,0,False,2
"(3, 3, 0)",2,2,0,0,False,1
"(3, 3, 2)",2,2,0,0,False,1
"(4, 3, 0)",2,2,1,0,False,2
"(5, 3, 2)",2,0,1,0,False,3
"(1, 4, 1)",2,0,1,0,False,2
"(2, 4, 1)",2,0,1,0,False,1
"(2, 4, 2)",2,2,1,0,False,1
"(4, 4, 0)",2,2,0,0,False,1
"(5, 4, 3)",2,1,2,57,True,2
"(1, 5, 0)",2,0,1,0,False,2
"(1, 5, 1)",2,0,1,17,True,2
"(2, 5, 1)",2,2,0,0,False,1
"(2, 5, 2)",2,2,1,0,False,1
"(4, 5, 3)",2,0,2,57,True,1
"(5, 5, 1)",2,2,0,0,False,2
"(1, 1, 0)",3,0,1,3,True,2
"(2, 1, 0)",3,1,0,0,False,1
"(2, 1, 3)",3,1,0,0,False,1
"(4, 1, 1)",3,0,2,20,True,1
"(5, 1, 1)",3,0,2,56,True,2
"(5, 1, 2)",3,0,1,1,False,2
"(1, 2, 0)",3,0,1,1,False,2
"(4, 2, 1)",3,0,2,51,True,1
"(5, 2, 2)",3,0,1,1,False,2
"(1, 3, 0)",3,0,1,0,False,3
"(4, 3, 1)",3,0,1,0,False,2
"(5, 3, 0)",3,1,0,0,False,3
"(5, 3, 1)",3,0,2,56,True,3
"(5, 3, 2)",3,0,2,56,True,3
"(1, 4, 0)",3,0,1,2,False,2
"(2, 4, 3)",3,0,2,56,True,1
"(4, 4, 1)",3,0,2,56,True,1
"(5, 4, 0)",3,1,0,0,False,2
"(5, 4, 1)",3,0,2,56,True,2
"(5, 4, 2)",3,0,1,1,False,2
"(1, 5, 0)",3,0,1,1,False,2
"(1, 5, 3)",3,0,2,56,True,2
"(4, 5, 2)",3,1,0,0,False,1
"(5, 5, 2)",3,0,1,3,True,2
"(5, 2, 2)",4,1,2,17,True,2
"(4, 3, 1)",4,2,1,1,False,2
"(1, 4, 0)",4,1,2,0,False,2
"(1, 1, 0)",5,1,2,0,False,2
"(1, 2, 0)",5,2,1,1,False,2
"(1, 4, 0)",5,1,2,13,True,2
"(4, 5, 1)",5,2,1,1,False,1
"(5, 5, 2)",5,1,2,0,False,2
"(5, 1, 2)",6,2,1,0,False,2
"(2, 3, 1)",6,2,1,5,True,2
"(4, 3, 1)",6,2,1,7,True,2
"(4, 3, 3)",6,2,1,5,True,2
"(5, 4, 2)",6,2,1,0,False,2
"(1, 1, 0)",7,2,1,1,False,2
"(1, 2, 0)",7,2,1,43,True,2
"(4, 5, 1)",7,2,1,3,True,1
"(5, 5, 2)",7,2,1,1,False,2
"(1, 3, 1)",8,2,1,0,False,3
"(5, 3, 3)",8,2,1,0,False,3
"(1, 4, 0)",8,2,1,0,False,2
"(1, 1, 0)",9,2,1,2,False,2
"(5, 5, 2)",9,2,1,2,False,2
"(1, 5, 0)",10,1,2,49,True,2
"(1, 1, 0)",11,1,2,3,True,2
"(4, 5, 1)",11,2,1,0,False,1
"(5, 5, 2)",11,1,2,3,True,2
"(1, 1, 0)",12,2,1,0,False,2
"(5, 4, 2)",12,2,1,4,True,2
"(5, 5, 2)",12,2,1,0,False,2
"(1, 1, 0)",13,2,1,0,False,2
"(2, 3, 3)",13,1,2,1,False,2
"(4, 3, 1)",13,1,2,1,False,2
"(5, 5, 2)",13,2,1,0,False,2
"(1, 3, 1)",15,2,1,1,False,3
"(5, 3, 3)",15,2,1,1,False,3
"(2, 5, 1)",15,2,1,1,False,1
"(4, 5, 1)",15,2,1,0,False,1
"(1, 1, 3)",16,2,1,0,False,2
"(2, 3, 3)",16,2,1,0,False,2
"(1, 4, 0)",16,2,1,0,False,2
"(4, 5, 1)",16,2,1,0,False,1
"(5, 5, 1)",16,2,1,0,False,2
"(4, 2, 2)",17,0,1,0,False,1
"(4, 3, 3)",17,1,0,5,True,2
"(5, 4, 2)",17,2,1,12,True,2
"(2, 5, 1)",17,2,1,0,False,1
"(1, 3, 1)",18,1,0,41,True,3
"(2, 3, 3)",18,2,1,0,False,2
"(5, 3, 3)",18,1,0,41,True,3
"(4, 5, 1)",18,2,1,0,False,1
"(1, 1, 2)",19,1,0,40,True,2
"(1, 1, 3)",19,2,1,10,True,2
"(2, 1, 0)",19,1,0,1,False,1
"(5, 1, 3)",19,1,0,0,False,2
"(2, 3, 3)",19,2,1,5,True,2
"(3, 3, 1)",19,0,1,18,True,1
"(3, 3, 3)",19,0,1,10,True,1
"(2, 4, 0)",19,1,0,2,False,1
"(1, 5, 1)",19,1,0,0,False,2
"(2, 5, 1)",19,2,1,0,False,1
"(4, 5, 1)",19,2,1,0,False,1
"(4, 5, 2)",19,1,0,1,False,1
"(5, 5, 0)",19,1,0,40,True,2
"(5, 5, 1)",19,2,1,10,True,2
"(2, 1, 0)",20,0,1,8,True,1
"(5, 1, 3)",20,2,0,39,True,2
"(3, 3, 1)",20,1,0,0,False,1
"(1, 5, 1)",20,2,0,39,True,2
"(4, 5, 1)",20,2,1,0,False,1
"(4, 5, 2)",20,0,1,8,True,1
"(5, 1, 2)",21,2,1,13,True,2
"(4, 5, 1)",21,2,0,0,False,1
"(4, 5, 1)",22,1,0,1,False,1
"(2, 1, 3)",23,0,1,1,False,1
"(4, 5, 1)",23,0,1,1,False,1
"(4, 1, 1)",24,1,2,35,True,1
"(4, 3, 1)",24,1,2,8,True,2
"(4, 3, 3)",24,1,0,27,True,2
"(4, 5, 1)",24,1,0,35,True,1
"(2, 1, 3)",25,0,1,2,False,1
"(2, 3, 3)",25,2,1,0,False,2
"(2, 1, 3)",26,1,0,0,False,1
"(2, 3, 3)",26,2,1,2,False,2
"(2, 5, 1)",26,0,1,0,False,1
"(2, 1, 0)",27,1,0,0,False,1
"(3, 3, 1)",27,1,0,0,False,1
"(3, 3, 3)",27,1,0,0,False,1
"(2, 5, 1)",27,2,0,32,True,1
"(4, 5, 2)",27,1,0,0,False,1
"(2, 1, 3)",28,0,1,1,False,1
"(5, 2, 2)",28,1,2,4,True,2
"(1, 3, 3)",28,2,1,0,False,3
"(2, 1, 0)",29,0,1,3,True,1
"(2, 1, 3)",29,1,0,1,False,1
"(2, 3, 3)",29,2,1,0,False,2
"(4, 5, 2)",29,0,1,3,True,1
"(1, 1, 3)",30,2,1,4,True,2
"(2, 1, 3)",30,0,1,2,False,1
"(5, 2, 2)",30,2,1,0,False,2
"(3, 3, 3)",30,0,1,3,True,1
"(5, 5, 1)",30,2,1,4,True,2
"(4, 1, 3)",31,1,0,5,True,1
"(1, 3, 3)",31,2,1,0,False,3
"(2, 3, 3)",31,2,1,0,False,2
"(5, 2, 2)",32,2,1,6,True,2
"(2, 3, 3)",32,2,1,19,True,2
"(2, 1, 0)",33,0,1,0,False,1
"(2, 1, 3)",33,0,1,4,True,1
"(4, 5, 2)",33,0,1,0,False,1
"(2, 1, 0)",34,0,1,1,False,1
"(5, 1, 2)",34,1,2,1,False,2
"(1, 3, 3)",34,1,2,0,False,3
"(3, 3, 1)",34,1,0,0,False,1
"(5, 4, 2)",34,1,2,1,False,2
"(4, 5, 2)",34,0,1,1,False,1
"(1, 1, 3)",35,2,1,0,False,2
"(3, 3, 1)",35,1,0,0,False,1
"(3, 3, 3)",35,1,0,0,False,1
"(5, 5, 1)",35,2,1,0,False,2
"(1, 1, 3)",36,2,1,3,True,2
"(2, 1, 0)",36,0,1,11,True,1
"(5, 1, 2)",36,1,2,2,False,2
"(4, 3, 1)",36,1,2,20,True,2
"(4, 5, 2)",36,0,1,11,True,1
"(5, 5, 1)",36,2,1,3,True,2
"(4, 1, 3)",37,1,0,22,True,1
"(3, 3, 1)",37,1,0,1,False,1
"(3, 3, 3)",37,1,0,1,False,1
"(2, 4, 0)",37,1,0,1,False,1
"(2, 1, 3)",38,0,1,1,False,1
"(3, 3, 1)",38,0,1,2,False,1
"(3, 3, 3)",38,0,1,2,False,1
"(5, 4, 2)",38,1,2,0,False,2
"(1, 1, 3)",39,1,2,3,True,2
"(2, 1, 3)",39,1,0,0,False,1
"(5, 5, 1)",39,1,2,3,True,2
"(1, 1, 3)",40,2,1,0,False,2
"(2, 1, 3)",40,2,0,0,False,1
"(5, 2, 2)",40,1,2,0,False,2
"(1, 3, 3)",40,2,1,1,False,3
"(3, 3, 1)",40,1,0,1,False,1
"(2, 4, 0)",40,0,1,0,False,1
"(5, 5, 1)",40,2,1,0,False,2
"(1, 1, 3)",41,2,1,0,False,2
"(3, 3, 1)",41,0,1,2,False,1
"(3, 3, 3)",41,0,1,2,False,1
"(2, 4, 0)",41,0,1,0,False,1
"(5, 5, 1)",41,2,1,0,False,2
"(1, 1, 3)",42,2,1,4,True,2
