state_id,learned_generation,learned_action,instinct_action,assimilation_generation,lag,persistent
0,0,1,2,,,False
0,3,1,0,,,False
1,1,2,0,,,False
2,0,1,0,1.0,1.0,False
2,1,0,1,2.0,1.0,False
2,19,0,1,20.0,1.0,True
3,2,2,1,3.0,1.0,False
3,18,0,2,19.0,1.0,False
3,28,0,2,30.0,2.0,False
3,29,0,2,30.0,1.0,False
3,37,0,2,38.0,1.0,True
4,0,1,0,2.0,2.0,False
4,2,2,1,3.0,1.0,False
4,24,2,0,25.0,1.0,False
4,30,2,0,31.0,1.0,True
5,9,1,2,10.0,1.0,False
5,12,1,2,14.0,2.0,False
5,13,1,2,14.0,1.0,False
5,17,1,2,18.0,1.0,True
6,1,2,0,2.0,1.0,True
7,0,1,0,3.0,3.0,False
7,16,1,0,17.0,1.0,True
8,3,0,1,,,False
9,0,1,0,,,False
9,1,2,0,3.0,2.0,False
9,2,1,0,,,False
9,9,0,2,10.0,1.0,True
10,0,1,2,2.0,2.0,False
10,1,1,0,2.0,1.0,False
10,9,0,2,10.0,1.0,False
10,10,2,0,11.0,1.0,True
11,0,1,0,3.0,3.0,True
12,1,2,0,2.0,1.0,True
12,2,0,2,,,False
13,0,1,0,10.0,10.0,False
13,10,2,1,11.0,1.0,False
13,22,2,0,23.0,1.0,False
13,24,2,0,25.0,1.0,False
13,27,0,2,34.0,7.0,False
13,31,0,2,34.0,3.0,False
13,38,2,0,39.0,1.0,False
13,42,0,2,43.0,1.0,False
13,47,0,2,48.0,1.0,False
13,51,0,2,54.0,3.0,False
13,54,2,0,55.0,1.0,True
13,59,0,2,,,False
14,0,1,0,,,False
14,2,1,0,,,False
15,1,0,2,2.0,1.0,False
16,6,2,1,7.0,1.0,False
16,19,2,1,20.0,1.0,True
17,0,1,0,3.0,3.0,True
18,0,1,0,3.0,3.0,False
18,3,2,1,4.0,1.0,True
19,0,1,0,3.0,3.0,True
20,0,1,2,4.0,4.0,False
20,3,1,0,4.0,1.0,False
20,5,2,1,7.0,2.0,False
20,7,1,2,8.0,1.0,False
20,9,1,2,10.0,1.0,False
20,11,2,1,12.0,1.0,False
20,12,1,2,15.0,3.0,True
20,13,1,2,15.0,2.0,True
21,2,0,2,,,False
21,16,1,2,20.0,4.0,False
21,19,1,2,20.0,1.0,False
21,30,1,2,31.0,1.0,False
21,35,1,2,37.0,2.0,False
21,36,1,2,37.0,1.0,False
21,39,2,1,40.0,1.0,False
21,40,1,2,43.0,3.0,False
21,41,1,2,43.0,2.0,False
