min_persist,action,n_events,n_assimilated,rate,marginal_freq
1,1,199,89,0.4472361809045226,0.30158730158730157
1,2,50,42,0.84,0.5412698412698412
1,0,78,47,0.6025641025641025,0.15714285714285714
2,1,199,56,0.2814070351758794,0.30158730158730157
2,2,50,36,0.72,0.5412698412698412
2,0,78,23,0.2948717948717949,0.15714285714285714
3,1,199,39,0.19597989949748743,0.30158730158730157
3,2,50,34,0.68,0.5412698412698412
3,0,78,15,0.19230769230769232,0.15714285714285714
4,1,199,30,0.1507537688442211,0.30158730158730157
4,2,50,30,0.6,0.5412698412698412
4,0,78,12,0.15384615384615385,0.15714285714285714
5,1,199,24,0.12060301507537688,0.30158730158730157
5,2,50,28,0.56,0.5412698412698412
5,0,78,12,0.15384615384615385,0.15714285714285714
