min_persist,group,action,n_events,n_assimilated,rate,marginal_freq
1,early,1,73,23,0.3150684931506849,0.30158730158730157
1,early,2,25,22,0.88,0.5412698412698412
1,early,0,35,21,0.6,0.15714285714285714
1,late,2,25,20,0.8,0.5412698412698412
1,late,1,126,66,0.5238095238095238,0.30158730158730157
1,late,0,43,26,0.6046511627906976,0.15714285714285714
2,early,1,73,7,0.0958904109589041,0.30158730158730157
2,early,2,25,22,0.88,0.5412698412698412
2,early,0,35,6,0.17142857142857143,0.15714285714285714
2,late,2,25,14,0.56,0.5412698412698412
2,late,1,126,49,0.3888888888888889,0.30158730158730157
2,late,0,43,17,0.3953488372093023,0.15714285714285714
3,early,1,73,5,0.0684931506849315,0.30158730158730157
3,early,2,25,22,0.88,0.5412698412698412
3,early,0,35,0,0.0,0.15714285714285714
3,late,2,25,12,0.48,0.5412698412698412
3,late,1,126,34,0.2698412698412698,0.30158730158730157
3,late,0,43,15,0.3488372093023256,0.15714285714285714
4,early,1,73,3,0.0410958904109589,0.30158730158730157
4,early,2,25,22,0.88,0.5412698412698412
4,early,0,35,0,0.0,0.15714285714285714
4,late,2,25,8,0.32,0.5412698412698412
4,late,1,126,27,0.21428571428571427,0.30158730158730157
4,late,0,43,12,0.27906976744186046,0.15714285714285714
5,early,1,73,3,0.0410958904109589,0.30158730158730157
5,early,2,25,22,0.88,0.5412698412698412
5,early,0,35,0,0.0,0.15714285714285714
5,late,2,25,6,0.24,0.5412698412698412
5,late,1,126,21,0.16666666666666666,0.30158730158730157
5,late,0,43,12,0.27906976744186046,0.15714285714285714
