generation,phase,state_id,mode_action,mode_count,population_size,agreement
0,after,0,1,10,20,0.5
0,after,1,0,9,20,0.45
0,after,2,1,8,20,0.4
0,after,3,1,7,20,0.35
0,after,4,1,8,20,0.4
0,after,5,1,11,20,0.55
0,after,6,0,9,20,0.45
0,after,7,1,11,20,0.55
0,after,8,1,11,20,0.55
0,after,9,1,9,20,0.45
0,after,10,1,9,20,0.45
0,after,11,1,10,20,0.5
0,after,12,0,9,20,0.45
0,after,13,1,9,20,0.45
0,after,14,1,8,20,0.4
0,after,15,0,9,20,0.45
0,after,16,0,10,20,0.5
0,after,17,1,12,20,0.6
0,after,18,1,9,20,0.45
0,after,19,1,12,20,0.6
0,after,20,1,10,20,0.5
0,after,21,0,8,20,0.4
0,after,22,1,7,20,0.35
0,after,23,1,8,20,0.4
0,after,24,1,8,20,0.4
0,after,25,0,8,20,0.4
0,after,26,0,9,20,0.45
0,after,27,1,9,20,0.45
0,after,28,1,10,20,0.5
0,after,29,1,12,20,0.6
0,after,30,1,10,20,0.5
0,after,31,1,8,20,0.4
0,after,32,0,9,20,0.45
0,after,33,0,10,20,0.5
0,after,34,0,10,20,0.5
0,after,35,1,9,20,0.45
0,after,36,0,8,20,0.4
0,after,37,1,11,20,0.55
0,after,38,0,9,20,0.45
0,after,39,1,9,20,0.45
0,after,40,0,9,20,0.45
0,after,41,1,11,20,0.55
0,after,42,1,9,20,0.45
0,after,43,1,8,20,0.4
0,after,44,1,10,20,0.5
0,after,45,1,10,20,0.5
0,after,46,1,10,20,0.5
0,after,47,0,9,20,0.45
0,after,48,0,8,20,0.4
0,after,49,1,8,20,0.4
0,after,50,0,8,20,0.4
0,after,51,0,9,20,0.45
0,after,52,1,8,20,0.4
0,after,53,0,9,20,0.45
0,after,54,1,8,20,0.4
0,after,55,0,9,20,0.45
0,after,56,1,8,20,0.4
0,after,57,0,9,20,0.45
0,after,58,1,9,20,0.45
0,after,59,0,9,20,0.45
0,after,60,1,11,20,0.55
0,after,61,0,8,20,0.4
0,after,62,1,11,20,0.55
0,after,63,1,11,20,0.55
0,after,64,1,10,20,0.5
0,after,65,1,11,20,0.55
0,after,66,1,8,20,0.4
0,after,67,1,8,20,0.4
0,after,68,1,10,20,0.5
0,after,69,1,10,20,0.5
0,after,70,0,8,20,0.4
0,after,71,1,8,20,0.4
0,after,72,1,9,20,0.45
0,after,73,0,9,20,0.45
0,after,74,0,9,20,0.45
0,after,75,1,10,20,0.5
0,after,76,1,9,20,0.45
0,after,77,1,9,20,0.45
0,after,78,0,9,20,0.45
0,after,79,0,9,20,0.45
0,after,80,1,9,20,0.45
0,after,81,0,9,20,0.45
0,after,82,1,9,20,0.45
0,after,83,1,12,20,0.6
0,after,84,1,12,20,0.6
0,after,85,0,11,20,0.55
0,after,86,0,9,20,0.45
0,after,87,1,12,20,0.6
0,after,88,1,10,20,0.5
0,after,89,1,8,20,0.4
0,after,90,0,8,20,0.4
0,after,91,1,8,20,0.4
0,after,92,1,8,20,0.4
0,after,93,1,11,20,0.55
0,after,94,1,11,20,0.55
0,after,95,1,9,20,0.45
0,after,96,0,9,20,0.45
0,after,97,0,11,20,0.55
0,after,98,0,9,20,0.45
0,after,99,0,10,20,0.5
0,after,100,0,9,20,0.45
0,after,101,0,9,20,0.45
0,after,102,1,8,20,0.4
0,after,103,1,9,20,0.45
0,after,104,1,8,20,0.4
0,after,105,1,9,20,0.45
0,after,106,1,8,20,0.4
0,after,107,1,11,20,0.55
0,after,108,0,10,20,0.5
0,after,109,1,9,20,0.45
0,after,110,1,11,20,0.55
0,after,111,1,11,20,0.55
0,after,112,1,10,20,0.5
0,after,113,1,9,20,0.45
0,after,114,0,9,20,0.45
0,after,115,1,11,20,0.55
0,after,116,0,10,20,0.5
0,after,117,1,8,20,0.4
0,after,118,0,8,20,0.4
0,after,119,1,8,20,0.4
0,after,120,1,11,20,0.55
0,after,121,1,12,20,0.6
0,after,122,0,8,20,0.4
0,after,123,1,12,20,0.6
0,after,124,1,8,20,0.4
0,after,125,1,11,20,0.55
0,after,126,1,9,20,0.45
0,after,127,1,11,20,0.55
0,after,128,1,8,20,0.4
0,after,129,1,10,20,0.5
0,after,130,1,10,20,0.5
0,before,0,2,8,20,0.4
0,before,1,0,10,20,0.5
0,before,2,0,8,20,0.4
0,before,3,1,9,20,0.45
0,before,4,0,8,20,0.4
0,before,5,1,8,20,0.4
0,before,6,0,11,20,0.55
0,before,7,0,8,20,0.4
0,before,8,1,8,20,0.4
0,before,9,0,8,20,0.4
0,before,10,2,8,20,0.4
0,before,11,0,8,20,0.4
0,before,12,0,10,20,0.5
0,before,13,0,11,20,0.55
0,before,14,0,11,20,0.55
0,before,15,0,8,20,0.4
0,before,16,0,8,20,0.4
0,before,17,0,9,20,0.45
0,before,18,0,9,20,0.45
0,before,19,0,9,20,0.45
0,before,20,2,9,20,0.45
0,before,21,0,11,20,0.55
0,before,22,0,9,20,0.45
0,before,23,2,9,20,0.45
0,before,24,0,8,20,0.4
0,before,25,0,9,20,0.45
0,before,26,0,9,20,0.45
0,before,27,1,7,20,0.35
0,before,28,1,7,20,0.35
0,before,29,0,8,20,0.4
0,before,30,0,9,20,0.45
0,before,31,0,9,20,0.45
0,before,32,2,8,20,0.4
0,before,33,0,8,20,0.4
0,before,34,0,9,20,0.45
0,before,35,0,9,20,0.45
0,before,36,1,8,20,0.4
0,before,37,1,8,20,0.4
0,before,38,0,9,20,0.45
0,before,39,1,7,20,0.35
0,before,40,0,8,20,0.4
0,before,41,2,8,20,0.4
0,before,42,0,8,20,0.4
0,before,43,2,9,20,0.45
0,before,44,2,8,20,0.4
0,before,45,1,7,20,0.35
0,before,46,2,8,20,0.4
0,before,47,0,10,20,0.5
0,before,48,0,8,20,0.4
0,before,49,0,7,20,0.35
0,before,50,1,9,20,0.45
0,before,51,0,10,20,0.5
0,before,52,0,8,20,0.4
0,before,53,0,9,20,0.45
0,before,54,1,7,20,0.35
0,before,55,0,12,20,0.6
0,before,56,0,9,20,0.45
0,before,57,2,9,20,0.45
0,before,58,0,8,20,0.4
0,before,59,1,8,20,0.4
0,before,60,2,8,20,0.4
0,before,61,0,9,20,0.45
0,before,62,2,8,20,0.4
0,before,63,1,8,20,0.4
0,before,64,0,11,20,0.55
0,before,65,2,8,20,0.4
0,before,66,0,8,20,0.4
0,before,67,2,8,20,0.4
0,before,68,2,10,20,0.5
0,before,69,0,9,20,0.45
0,before,70,1,9,20,0.45
0,before,71,0,7,20,0.35
0,before,72,0,8,20,0.4
0,before,73,0,8,20,0.4
0,before,74,0,11,20,0.55
0,before,75,0,9,20,0.45
0,before,76,1,10,20,0.5
0,before,77,0,8,20,0.4
0,before,78,0,8,20,0.4
0,before,79,0,7,20,0.35
0,before,80,0,10,20,0.5
0,before,81,0,10,20,0.5
0,before,82,0,12,20,0.6
0,before,83,0,8,20,0.4
0,before,84,2,7,20,0.35
0,before,85,0,9,20,0.45
0,before,86,0,10,20,0.5
0,before,87,0,9,20,0.45
0,before,88,0,9,20,0.45
0,before,89,2,9,20,0.45
0,before,90,1,8,20,0.4
0,before,91,0,8,20,0.4
0,before,92,0,7,20,0.35
0,before,93,0,9,20,0.45
0,before,94,0,10,20,0.5
0,before,95,2,8,20,0.4
0,before,96,0,8,20,0.4
0,before,97,0,8,20,0.4
0,before,98,1,9,20,0.45
0,before,99,2,7,20,0.35
0,before,100,2,9,20,0.45
0,before,101,2,8,20,0.4
0,before,102,0,10,20,0.5
0,before,103,2,9,20,0.45
0,before,104,2,7,20,0.35
0,before,105,2,9,20,0.45
0,before,106,1,7,20,0.35
0,before,107,0,8,20,0.4
0,before,108,0,11,20,0.55
0,before,109,0,9,20,0.45
0,before,110,0,7,20,0.35
0,before,111,2,7,20,0.35
0,before,112,2,8,20,0.4
0,before,113,1,7,20,0.35
0,before,114,0,10,20,0.5
0,before,115,0,11,20,0.55
0,before,116,0,9,20,0.45
0,before,117,0,10,20,0.5
0,before,118,0,9,20,0.45
0,before,119,0,10,20,0.5
0,before,120,1,8,20,0.4
0,before,121,1,8,20,0.4
0,before,122,1,7,20,0.35
0,before,123,1,10,20,0.5
0,before,124,1,8,20,0.4
0,before,125,0,9,20,0.45
0,before,126,0,9,20,0.45
0,before,127,0,10,20,0.5
0,before,128,2,8,20,0.4
0,before,129,2,8,20,0.4
0,before,130,1,9,20,0.45
1,after,0,0,12,20,0.6
1,after,1,2,8,20,0.4
1,after,2,0,8,20,0.4
1,after,3,2,10,20,0.5
1,after,4,2,9,20,0.45
1,after,5,0,11,20,0.55
1,after,6,2,10,20,0.5
1,after,7,0,12,20,0.6
1,after,8,0,13,20,0.65
1,after,9,2,9,20,0.45
1,after,10,1,7,20,0.35
1,after,11,0,10,20,0.5
1,after,12,2,10,20,0.5
1,after,13,0,11,20,0.55
1,after,14,0,9,20,0.45
1,after,15,0,9,20,0.45
1,after,16,0,13,20,0.65
1,after,17,0,11,20,0.55
1,after,18,0,11,20,0.55
1,after,19,0,11,20,0.55
1,after,20,0,14,20,0.7
1,after,21,2,9,20,0.45
1,after,22,2,11,20,0.55
1,after,23,2,10,20,0.5
1,after,24,0,8,20,0.4
1,after,25,0,9,20,0.45
1,after,26,0,8,20,0.4
1,after,27,2,8,20,0.4
1,after,28,0,11,20,0.55
1,after,29,1,8,20,0.4
1,after,30,1,8,20,0.4
1,after,31,0,8,20,0.4
1,after,32,2,8,20,0.4
1,after,33,0,12,20,0.6
1,after,34,2,10,20,0.5
1,after,35,0,11,20,0.55
1,after,36,1,7,20,0.35
1,after,37,0,10,20,0.5
1,after,38,2,10,20,0.5
1,after,39,0,9,20,0.45
1,after,40,1,7,20,0.35
1,after,41,0,9,20,0.45
1,after,42,0,8,20,0.4
1,after,43,0,8,20,0.4
1,after,44,0,9,20,0.45
1,after,45,0,13,20,0.65
1,after,46,2,10,20,0.5
1,after,47,2,8,20,0.4
1,after,48,0,9,20,0.45
1,after,49,2,12,20,0.6
1,after,50,2,10,20,0.5
1,after,51,2,8,20,0.4
1,after,52,2,9,20,0.45
1,after,53,2,9,20,0.45
1,after,54,1,7,20,0.35
1,after,55,2,8,20,0.4
1,after,56,0,9,20,0.45
1,after,57,0,10,20,0.5
1,after,58,0,8,20,0.4
1,after,59,2,8,20,0.4
1,after,60,0,13,20,0.65
1,after,61,2,9,20,0.45
1,after,62,0,13,20,0.65
1,after,63,0,13,20,0.65
1,after,64,1,8,20,0.4
1,after,65,0,14,20,0.7
1,after,66,0,7,20,0.35
1,after,67,0,9,20,0.45
1,after,68,2,7,20,0.35
1,after,69,0,13,20,0.65
1,after,70,2,9,20,0.45
1,after,71,2,10,20,0.5
1,after,72,1,7,20,0.35
1,after,73,2,10,20,0.5
1,after,74,2,10,20,0.5
1,after,75,0,11,20,0.55
1,after,76,2,8,20,0.4
1,after,77,0,10,20,0.5
1,after,78,0,9,20,0.45
1,after,79,0,9,20,0.45
1,after,80,0,13,20,0.65
1,after,81,0,8,20,0.4
1,after,82,0,10,20,0.5
1,after,83,0,10,20,0.5
1,after,84,0,12,20,0.6
1,after,85,0,12,20,0.6
1,after,86,0,9,20,0.45
1,after,87,0,11,20,0.55
1,after,88,0,9,20,0.45
1,after,89,0,9,20,0.45
1,after,90,2,10,20,0.5
1,after,91,2,10,20,0.5
1,after,92,2,7,20,0.35
1,after,93,1,12,20,0.6
1,after,94,0,12,20,0.6
1,after,95,2,9,20,0.45
1,after,96,0,11,20,0.55
1,after,97,0,9,20,0.45
1,after,98,0,11,20,0.55
1,after,99,0,12,20,0.6
1,after,100,1,7,20,0.35
1,after,101,0,9,20,0.45
1,after,102,2,8,20,0.4
1,after,103,2,9,20,0.45
1,after,104,2,10,20,0.5
1,after,105,0,10,20,0.5
1,after,106,2,8,20,0.4
1,after,107,1,10,20,0.5
1,after,108,2,10,20,0.5
1,after,109,0,13,20,0.65
1,after,110,0,13,20,0.65
1,after,111,0,13,20,0.65
1,after,112,1,8,20,0.4
1,after,113,2,10,20,0.5
1,after,114,2,9,20,0.45
1,after,115,0,10,20,0.5
1,after,116,0,10,20,0.5
1,after,117,2,10,20,0.5
1,after,118,2,8,20,0.4
1,after,119,0,8,20,0.4
1,after,120,1,8,20,0.4
1,after,121,1,8,20,0.4
1,after,122,2,9,20,0.45
1,after,123,1,9,20,0.45
1,after,124,0,9,20,0.45
1,after,125,1,9,20,0.45
1,after,126,0,8,20,0.4
1,after,127,1,9,20,0.45
1,after,128,0,8,20,0.4
1,after,129,2,8,20,0.4
1,after,130,0,9,20,0.45
1,before,0,0,11,20,0.55
1,before,1,0,10,20,0.5
1,before,2,1,9,20,0.45
1,before,3,2,13,20,0.65
1,before,4,2,13,20,0.65
1,before,5,0,11,20,0.55
1,before,6,0,11,20,0.55
1,before,7,0,11,20,0.55
1,before,8,0,11,20,0.55
1,before,9,0,10,20,0.5
1,before,10,0,11,20,0.55
1,before,11,0,11,20,0.55
1,before,12,0,11,20,0.55
1,before,13,0,11,20,0.55
1,before,14,0,11,20,0.55
1,before,15,2,9,20,0.45
1,before,16,0,13,20,0.65
1,before,17,0,11,20,0.55
1,before,18,0,11,20,0.55
1,before,19,0,11,20,0.55
1,before,20,0,11,20,0.55
1,before,21,2,12,20,0.6
1,before,22,2,13,20,0.65
1,before,23,2,13,20,0.65
1,before,24,1,8,20,0.4
1,before,25,0,11,20,0.55
1,before,26,0,11,20,0.55
1,before,27,2,15,20,0.75
1,before,28,0,11,20,0.55
1,before,29,1,9,20,0.45
1,before,30,1,9,20,0.45
1,before,31,0,11,20,0.55
1,before,32,0,11,20,0.55
1,before,33,0,11,20,0.55
1,before,34,0,13,20,0.65
1,before,35,0,11,20,0.55
1,before,36,1,8,20,0.4
1,before,37,0,10,20,0.5
1,before,38,0,11,20,0.55
1,before,39,1,8,20,0.4
1,before,40,1,9,20,0.45
1,before,41,0,11,20,0.55
1,before,42,2,16,20,0.8
1,before,43,2,15,20,0.75
1,before,44,0,11,20,0.55
1,before,45,0,11,20,0.55
1,before,46,2,13,20,0.65
1,before,47,0,11,20,0.55
1,before,48,0,11,20,0.55
1,before,49,2,13,20,0.65
1,before,50,2,13,20,0.65
1,before,51,0,10,20,0.5
1,before,52,2,12,20,0.6
1,before,53,0,11,20,0.55
1,before,54,2,13,20,0.65
1,before,55,0,12,20,0.6
1,before,56,2,9,20,0.45
1,before,57,0,11,20,0.55
1,before,58,2,13,20,0.65
1,before,59,2,12,20,0.6
1,before,60,0,11,20,0.55
1,before,61,0,9,20,0.45
1,before,62,0,11,20,0.55
1,before,63,0,11,20,0.55
1,before,64,0,9,20,0.45
1,before,65,0,11,20,0.55
1,before,66,0,11,20,0.55
1,before,67,2,16,20,0.8
1,before,68,0,11,20,0.55
1,before,69,0,11,20,0.55
1,before,70,2,13,20,0.65
1,before,71,2,13,20,0.65
1,before,72,1,8,20,0.4
1,before,73,0,11,20,0.55
1,before,74,0,11,20,0.55
1,before,75,0,11,20,0.55
1,before,76,1,9,20,0.45
1,before,77,0,11,20,0.55
1,before,78,2,10,20,0.5
1,before,79,0,11,20,0.55
1,before,80,0,11,20,0.55
1,before,81,2,10,20,0.5
1,before,82,0,11,20,0.55
1,before,83,1,9,20,0.45
1,before,84,0,11,20,0.55
1,before,85,0,11,20,0.55
1,before,86,2,9,20,0.45
1,before,87,0,11,20,0.55
1,before,88,0,11,20,0.55
1,before,89,2,11,20,0.55
1,before,90,2,13,20,0.65
1,before,91,2,13,20,0.65
1,before,92,2,13,20,0.65
1,before,93,0,11,20,0.55
1,before,94,0,11,20,0.55
1,before,95,2,13,20,0.65
1,before,96,0,11,20,0.55
1,before,97,0,13,20,0.65
1,before,98,0,11,20,0.55
1,before,99,0,11,20,0.55
1,before,100,0,11,20,0.55
1,before,101,0,11,20,0.55
1,before,102,0,11,20,0.55
1,before,103,0,11,20,0.55
1,before,104,2,14,20,0.7
1,before,105,0,11,20,0.55
1,before,106,2,13,20,0.65
1,before,107,1,9,20,0.45
1,before,108,0,11,20,0.55
1,before,109,0,11,20,0.55
1,before,110,0,11,20,0.55
1,before,111,0,11,20,0.55
1,before,112,2,12,20,0.6
1,before,113,2,13,20,0.65
1,before,114,0,13,20,0.65
1,before,115,0,11,20,0.55
1,before,116,0,11,20,0.55
1,before,117,2,13,20,0.65
1,before,118,0,11,20,0.55
1,before,119,0,11,20,0.55
1,before,120,0,11,20,0.55
1,before,121,1,9,20,0.45
1,before,122,0,11,20,0.55
1,before,123,0,11,20,0.55
1,before,124,0,11,20,0.55
1,before,125,1,9,20,0.45
1,before,126,0,11,20,0.55
1,before,127,1,9,20,0.45
1,before,128,2,16,20,0.8
1,before,129,2,11,20,0.55
1,before,130,0,11,20,0.55
2,after,0,0,10,20,0.5
2,after,1,0,12,20,0.6
2,after,2,0,12,20,0.6
2,after,3,2,9,20,0.45
2,after,4,2,9,20,0.45
2,after,5,0,12,20,0.6
2,after,6,2,8,20,0.4
2,after,7,0,12,20,0.6
2,after,8,0,15,20,0.75
2,after,9,1,7,20,0.35
2,after,10,1,8,20,0.4
2,after,11,0,14,20,0.7
2,after,12,0,7,20,0.35
2,after,13,0,9,20,0.45
2,after,14,1,7,20,0.35
2,after,15,0,12,20,0.6
2,after,16,0,11,20,0.55
2,after,17,0,14,20,0.7
2,after,18,0,13,20,0.65
2,after,19,0,15,20,0.75
2,after,20,0,12,20,0.6
2,after,21,0,12,20,0.6
2,after,22,2,9,20,0.45
2,after,23,2,9,20,0.45
2,after,24,0,12,20,0.6
2,after,25,0,9,20,0.45
2,after,26,1,7,20,0.35
2,after,27,2,8,20,0.4
2,after,28,0,11,20,0.55
2,after,29,0,12,20,0.6
2,after,30,0,11,20,0.55
2,after,31,1,7,20,0.35
2,after,32,1,8,20,0.4
2,after,33,0,14,20,0.7
2,after,34,1,8,20,0.4
2,after,35,0,9,20,0.45
2,after,36,0,9,20,0.45
2,after,37,0,12,20,0.6
2,after,38,1,8,20,0.4
2,after,39,0,13,20,0.65
2,after,40,1,8,20,0.4
2,after,41,1,9,20,0.45
2,after,42,0,9,20,0.45
2,after,43,1,9,20,0.45
2,after,44,1,8,20,0.4
2,after,45,0,15,20,0.75
2,after,46,1,7,20,0.35
2,after,47,0,8,20,0.4
2,after,48,1,7,20,0.35
2,after,49,2,9,20,0.45
2,after,50,2,8,20,0.4
2,after,51,0,12,20,0.6
2,after,52,1,7,20,0.35
2,after,53,1,7,20,0.35
2,after,54,1,7,20,0.35
2,after,55,0,8,20,0.4
2,after,56,0,12,20,0.6
2,after,57,0,8,20,0.4
2,after,58,1,7,20,0.35
2,after,59,0,12,20,0.6
2,after,60,0,15,20,0.75
2,after,61,0,13,20,0.65
2,after,62,0,11,20,0.55
2,after,63,0,13,20,0.65
2,after,64,1,7,20,0.35
2,after,65,0,15,20,0.75
2,after,66,1,7,20,0.35
2,after,67,0,10,20,0.5
2,after,68,1,7,20,0.35
2,after,69,0,13,20,0.65
2,after,70,2,8,20,0.4
2,after,71,1,7,20,0.35
2,after,72,0,12,20,0.6
2,after,73,1,7,20,0.35
2,after,74,2,9,20,0.45
2,after,75,0,13,20,0.65
2,after,76,0,9,20,0.45
2,after,77,0,12,20,0.6
2,after,78,0,12,20,0.6
2,after,79,1,7,20,0.35
2,after,80,0,14,20,0.7
2,after,81,0,12,20,0.6
2,after,82,0,8,20,0.4
2,after,83,0,13,20,0.65
2,after,84,0,15,20,0.75
2,after,85,0,13,20,0.65
2,after,86,0,12,20,0.6
2,after,87,0,15,20,0.75
2,after,88,1,8,20,0.4
2,after,89,0,9,20,0.45
2,after,90,2,9,20,0.45
2,after,91,1,7,20,0.35
2,after,92,2,8,20,0.4
2,after,93,0,9,20,0.45
2,after,94,0,14,20,0.7
2,after,95,2,8,20,0.4
2,after,96,0,9,20,0.45
2,after,97,0,10,20,0.5
2,after,98,0,14,20,0.7
2,after,99,0,13,20,0.65
2,after,100,1,7,20,0.35
2,after,101,0,10,20,0.5
2,after,102,1,8,20,0.4
2,after,103,2,9,20,0.45
2,after,104,2,8,20,0.4
2,after,105,0,9,20,0.45
2,after,106,2,8,20,0.4
2,after,107,0,8,20,0.4
2,after,108,1,8,20,0.4
2,after,109,0,14,20,0.7
2,after,110,0,12,20,0.6
2,after,111,0,13,20,0.65
2,after,112,1,7,20,0.35
2,after,113,2,8,20,0.4
2,after,114,1,8,20,0.4
2,after,115,0,12,20,0.6
2,after,116,0,8,20,0.4
2,after,117,2,8,20,0.4
2,after,118,0,8,20,0.4
2,after,119,1,7,20,0.35
2,after,120,0,9,20,0.45
2,after,121,0,12,20,0.6
2,after,122,0,8,20,0.4
2,after,123,0,11,20,0.55
2,after,124,0,10,20,0.5
2,after,125,0,11,20,0.55
2,after,126,1,7,20,0.35
2,after,127,0,10,20,0.5
2,after,128,0,9,20,0.45
2,after,129,1,7,20,0.35
2,after,130,0,10,20,0.5
2,before,0,0,16,20,0.8
2,before,1,0,10,20,0.5
2,before,2,0,10,20,0.5
2,before,3,1,7,20,0.35
2,before,4,1,7,20,0.35
2,before,5,0,17,20,0.85
2,before,6,2,10,20,0.5
2,before,7,0,13,20,0.65
2,before,8,0,17,20,0.85
2,before,9,0,10,20,0.5
2,before,10,1,7,20,0.35
2,before,11,0,17,20,0.85
2,before,12,2,10,20,0.5
2,before,13,0,10,20,0.5
2,before,14,0,10,20,0.5
2,before,15,0,10,20,0.5
2,before,16,0,13,20,0.65
2,before,17,0,17,20,0.85
2,before,18,0,13,20,0.65
2,before,19,0,17,20,0.85
2,before,20,0,17,20,0.85
2,before,21,2,10,20,0.5
2,before,22,2,11,20,0.55
2,before,23,1,7,20,0.35
2,before,24,0,10,20,0.5
2,before,25,0,10,20,0.5
2,before,26,0,10,20,0.5
2,before,27,2,10,20,0.5
2,before,28,0,16,20,0.8
2,before,29,0,13,20,0.65
2,before,30,0,12,20,0.6
