reference_gen,target_gen,target_phase,env_num,agreement
59,0,before,0,0.6363636363636364
59,0,before,1,0.4
59,0,before,2,0.5555555555555556
59,0,before,3,0.45454545454545453
59,0,before,4,0.4
59,0,before,5,0.4
59,0,before,6,0.45454545454545453
59,0,before,7,0.45454545454545453
59,0,before,8,0.01171875
59,0,before,9,0.45454545454545453
59,0,after,0,0.18181818181818182
59,0,after,1,0.1
59,0,after,2,0.1111111111111111
59,0,after,3,0.18181818181818182
59,0,after,4,0.1
59,0,after,5,0.1
59,0,after,6,0.18181818181818182
59,0,after,7,0.18181818181818182
59,0,after,8,0.49609375
59,0,after,9,0.18181818181818182
59,5,before,0,0.8181818181818182
59,5,before,1,0.9
59,5,before,2,0.8888888888888888
59,5,before,3,0.7272727272727273
59,5,before,4,0.9
59,5,before,5,0.9
59,5,before,6,0.7272727272727273
59,5,before,7,0.7272727272727273
59,5,before,8,0.50390625
59,5,before,9,0.7272727272727273
59,5,after,0,0.9090909090909091
59,5,after,1,0.8
59,5,after,2,0.7777777777777778
59,5,after,3,0.7272727272727273
59,5,after,4,0.8
59,5,after,5,0.8
59,5,after,6,0.9090909090909091
59,5,after,7,0.7272727272727273
59,5,after,8,0.015625
59,5,after,9,0.8181818181818182
59,10,before,0,0.45454545454545453
59,10,before,1,0.8
59,10,before,2,0.6666666666666666
59,10,before,3,0.5454545454545454
59,10,before,4,0.8
59,10,before,5,0.8
59,10,before,6,0.36363636363636365
59,10,before,7,0.5454545454545454
59,10,before,8,0.5
59,10,before,9,0.36363636363636365
59,10,after,0,0.7272727272727273
59,10,after,1,0.9
59,10,after,2,0.7777777777777778
59,10,after,3,0.6363636363636364
59,10,after,4,0.9
59,10,after,5,0.9
59,10,after,6,0.6363636363636364
59,10,after,7,0.6363636363636364
59,10,after,8,0.5
59,10,after,9,0.45454545454545453
59,15,before,0,0.7272727272727273
59,15,before,1,0.6
59,15,before,2,0.7777777777777778
59,15,before,3,0.8181818181818182
59,15,before,4,0.6
59,15,before,5,0.6
59,15,before,6,0.6363636363636364
59,15,before,7,0.8181818181818182
59,15,before,8,0.50390625
59,15,before,9,0.36363636363636365
59,15,after,0,0.9090909090909091
59,15,after,1,1.0
59,15,after,2,1.0
59,15,after,3,0.9090909090909091
59,15,after,4,1.0
59,15,after,5,1.0
59,15,after,6,0.6363636363636364
59,15,after,7,0.9090909090909091
59,15,after,8,0.5078125
59,15,after,9,0.45454545454545453
59,20,before,0,1.0
59,20,before,1,1.0
59,20,before,2,1.0
59,20,before,3,1.0
59,20,before,4,1.0
59,20,before,5,1.0
59,20,before,6,0.9090909090909091
59,20,before,7,1.0
59,20,before,8,0.01953125
59,20,before,9,0.8181818181818182
59,20,after,0,0.9090909090909091
59,20,after,1,1.0
59,20,after,2,0.8888888888888888
59,20,after,3,0.9090909090909091
59,20,after,4,1.0
59,20,after,5,1.0
59,20,after,6,0.8181818181818182
59,20,after,7,0.9090909090909091
59,20,after,8,0.015625
59,20,after,9,0.6363636363636364
59,25,before,0,0.8181818181818182
59,25,before,1,0.9
59,25,before,2,1.0
59,25,before,3,0.8181818181818182
59,25,before,4,0.9
59,25,before,5,0.9
59,25,before,6,0.9090909090909091
59,25,before,7,0.8181818181818182
59,25,before,8,0.50390625
59,25,before,9,1.0
59,25,after,0,1.0
59,25,after,1,1.0
59,25,after,2,1.0
59,25,after,3,1.0
59,25,after,4,1.0
59,25,after,5,1.0
59,25,after,6,0.9090909090909091
59,25,after,7,1.0
59,25,after,8,0.01953125
59,25,after,9,0.8181818181818182
59,30,before,0,1.0
59,30,before,1,1.0
59,30,before,2,1.0
59,30,before,3,1.0
59,30,before,4,1.0
59,30,before,5,1.0
59,30,before,6,1.0
59,30,before,7,1.0
59,30,before,8,0.5078125
59,30,before,9,0.8181818181818182
59,30,after,0,0.9090909090909091
59,30,after,1,0.8
59,30,after,2,1.0
59,30,after,3,0.9090909090909091
59,30,after,4,0.8
59,30,after,5,0.8
59,30,after,6,1.0
59,30,after,7,0.9090909090909091
59,30,after,8,0.5078125
59,30,after,9,0.8181818181818182
59,35,before,0,0.9090909090909091
59,35,before,1,1.0
59,35,before,2,1.0
59,35,before,3,0.9090909090909091
59,35,before,4,1.0
59,35,before,5,1.0
59,35,before,6,1.0
59,35,before,7,0.9090909090909091
59,35,before,8,0.50390625
59,35,before,9,0.8181818181818182
59,35,after,0,0.9090909090909091
59,35,after,1,0.9
59,35,after,2,1.0
59,35,after,3,0.9090909090909091
59,35,after,4,0.9
59,35,after,5,0.9
59,35,after,6,1.0
59,35,after,7,0.9090909090909091
59,35,after,8,0.50390625
59,35,after,9,0.8181818181818182
59,40,before,0,1.0
59,40,before,1,1.0
59,40,before,2,1.0
59,40,before,3,0.9090909090909091
59,40,before,4,1.0
59,40,before,5,1.0
59,40,before,6,1.0
59,40,before,7,0.9090909090909091
59,40,before,8,0.5078125
59,40,before,9,0.8181818181818182
59,40,after,0,0.9090909090909091
59,40,after,1,1.0
59,40,after,2,1.0
59,40,after,3,0.9090909090909091
59,40,after,4,1.0
59,40,after,5,1.0
59,40,after,6,1.0
59,40,after,7,0.9090909090909091
59,40,after,8,0.5078125
59,40,after,9,0.8181818181818182
59,45,before,0,0.9090909090909091
59,45,before,1,1.0
59,45,before,2,1.0
59,45,before,3,0.9090909090909091
59,45,before,4,1.0
59,45,before,5,1.0
59,45,before,6,0.8181818181818182
59,45,before,7,0.9090909090909091
59,45,before,8,0.99609375
59,45,before,9,1.0
59,45,after,0,1.0
59,45,after,1,1.0
59,45,after,2,1.0
59,45,after,3,0.9090909090909091
59,45,after,4,1.0
59,45,after,5,1.0
59,45,after,6,1.0
59,45,after,7,0.9090909090909091
59,45,after,8,0.50390625
59,45,after,9,1.0
59,50,before,0,1.0
59,50,before,1,1.0
59,50,before,2,1.0
59,50,before,3,1.0
59,50,before,4,1.0
59,50,before,5,1.0
